gt_index,set_id,rally,n_gt_strokes,classification,mapped_span,ball_round_gt,ball_round_pred,ball_round_correct,timing_matched_n,timing_mean_abs_err,player_gt,player_pred,player_correct,server_gt,server_pred,server_correct,hit_height_eligible_n,hit_height_correct_n,getpoint_eligible,getpoint_gt,getpoint_pred,getpoint_correct,landing_eligible,landing_gt,landing_pred,landing_correct
31,set1,32,9,covered,29,9,25,False,7,2.571429,Bot,Top,False,Bot,Top,False,9,3,True,Bot,Top,False,True,Top,Bot,False
32,set1,33,12,covered,29,12,25,False,12,2.500000,Top,Top,True,Bot,Top,False,12,5,True,Top,Top,True,True,Bot,Bot,True
33,set1,34,4,covered,30,4,6,False,4,2.750000,Bot,Bot,True,Top,Top,True,4,1,True,Top,,False,True,Top,,False
34,set1,35,2,covered,31,2,6,False,2,2.000000,Bot,,False,Top,,False,2,1,True,Top,,False,True,Top,,False
35,set1,36,17,covered,32,17,16,False,13,2.461538,Top,Top,True,Top,Bot,False,17,7,True,Bot,Bot,True,True,Top,,False
36,set2,1,4,covered,33,4,12,False,4,9.750000,Bot,Top,False,Top,Bot,False,4,0,True,Top,Top,True,True,Top,,False
37,set2,2,4,covered,34,4,6,False,4,10.750000,Bot,Bot,True,Top,Top,True,4,2,True,Bot,Top,False,True,Top,Top,True
38,set2,3,5,covered,35,5,6,False,4,3.250000,Bot,Bot,True,Bot,Top,False,5,2,True,Bot,Top,False,True,Top,,False
39,set2,4,2,covered,36,2,5,False,2,8.000000,Top,Top,True,Bot,Top,False,2,0,True,Bot,Bot,True,True,Bot,Top,False
40,set2,5,3,covered,37,3,5,False,3,3.000000,Bot,Bot,True,Bot,Bot,True,3,1,True,Bot,Top,False,True,Top,,False
41,set2,6,7,covered,38,7,7,True,5,3.200000,Bot,Top,False,Bot,Top,False,7,2,True,Top,Top,True,True,Top,Top,True
42,set2,7,18,covered,39,18,19,False,16,2.875000,Bot,Top,False,Top,Top,True,18,12,True,Bot,Top,False,True,Top,,False
43,set2,8,1,covered,40,1,3,False,1,16.000000,Bot,Top,False,Bot,Top,False,1,1,False,,Bot,,True,Top,,False
44,set2,9,34,covered,41,34,30,False,29,3.137931,Bot,Top,False,Top,Bot,False,34,12,True,Top,Top,True,True,Bot,,False
45,set2,10,15,covered,42,15,13,False,10,2.700000,Top,Top,True,Top,Top,True,15,1,True,Bot,Bot,True,True,Bot,Top,False
46,set2,11,20,split,,20,,False,0,,Top,,False,Bot,,False,20,0,True,Bot,,False,True,Bot,,False
47,set2,12,15,covered,45,15,16,False,13,2.384615,Bot,Top,False,Bot,Bot,True,15,7,True,Top,Bot,False,True,Bot,Top,False
48,set2,13,5,covered,46,5,8,False,5,3.200000,Top,Top,True,Top,Bot,False,5,2,True,Top,Bot,False,True,Bot,,False
49,set2,14,8,covered,47,8,10,False,8,2.500000,Bot,Top,False,Top,Bot,False,8,3,True,Bot,Top,False,True,Top,,False
50,set2,15,9,covered,48,9,9,True,7,3.000000,Top,Top,True,Bot,Top,False,9,2,True,Bot,Top,False,True,Bot,,False
51,set2,16,11,covered,49,11,11,True,10,4.000000,Bot,Top,False,Bot,Top,False,11,3,True,Bot,Bot,True,True,Top,Top,True
52,set2,17,8,split,,8,,False,0,,Top,,False,Bot,,False,8,0,True,Bot,,False,True,Bot,,False
53,set2,18,13,covered,51,13,13,True,10,2.900000,Bot,Bot,True,Bot,Bot,True,13,4,True,Top,Bot,False,True,Top,Top,True
54,set2,19,20,covered,52,20,19,False,17,2.470588,Bot,Bot,True,Top,Bot,False,20,7,True,Top,Bot,False,True,Bot,,False
55,set2,20,3,covered,53,3,20,False,3,6.333333,Top,Top,True,Top,Bot,False,3,1,True,Top,Bot,False,True,Bot,,False
56,set2,21,11,covered,53,11,20,False,11,2.818182,Top,Top,True,Top,Bot,False,11,6,True,Top,Bot,False,True,Bot,,False
57,set2,22,11,covered,54,11,11,True,10,7.100000,Top,Bot,False,Top,Bot,False,11,5,True,Bot,Top,False,True,Top,,False
58,set2,23,9,covered,55,9,9,True,8,4.375000,Bot,Top,False,Bot,Top,False,9,6,True,Bot,Bot,True,True,Top,Top,True
59,set2,24,42,covered,56,42,38,False,35,2.942857,Top,Top,True,Bot,Bot,True,42,17,True,Top,Top,True,True,Bot,,False
60,set2,25,32,covered,57,32,29,False,24,3.416667,Bot,Top,False,Top,Top,True,32,11,True,Bot,Top,False,True,Top,Top,True
61,set2,26,5,covered,58,5,7,False,5,5.000000,Top,Top,True,Bot,Top,False,5,3,True,Bot,Top,False,True,Bot,,False
62,set2,27,7,covered,59,7,9,False,6,1.500000,Bot,Top,False,Bot,Top,False,7,1,True,Top,Bot,False,True,Top,,False
63,set2,28,38,covered,60,38,36,False,30,2.466667,Bot,Top,False,Top,Bot,False,38,10,True,Top,Top,True,True,Bot,,False
64,set2,29,4,covered,61,4,9,False,4,3.500000,Bot,Top,False,Top,Top,True,4,1,True,Bot,Bot,True,True,Top,Top,True
65,set2,30,22,covered,62,22,19,False,17,3.411765,Top,Bot,False,Bot,Bot,True,22,8,True,Bot,,False,True,Top,,False
66,set2,31,8,covered,64,8,9,False,8,5.250000,Top,Bot,False,Bot,Bot,True,8,1,True,Top,Top,True,True,Bot,,False
67,set2,32,5,covered,65,5,5,True,2,7.000000,Top,Top,True,Top,Top,True,5,1,True,Bot,Top,False,True,Top,Bot,False
68,set2,33,19,covered,66,19,19,True,16,3.875000,Bot,Top,False,Bot,Top,False,19,5,True,Top,Top,True,True,Bot,,False
69,set2,34,29,covered,67,29,31,False,28,2.642857,Top,Top,True,Top,Top,True,29,13,True,Top,Bot,False,True,Bot,,False
70,set2,35,5,covered,68,5,7,False,5,5.400000,Top,Bot,False,Top,Bot,False,5,2,True,Top,Bot,False,True,Bot,,False
71,set2,36,34,covered,69,34,34,True,29,2.758621,Bot,Top,False,Top,Bot,False,34,18,True,Bot,Top,False,True,Top,,False
72,set2,37,18,covered,70,18,17,False,16,4.000000,Top,Top,True,Bot,Top,False,18,7,True,Bot,Bot,True,True,Top,Top,True
73,set2,38,16,covered,71,16,13,False,13,5.000000,Top,Bot,False,Bot,Bot,True,16,10,True,Bot,Top,False,True,Top,,False
74,set3,1,5,covered,72,5,4,False,4,6.000000,Top,Bot,False,Top,Top,True,5,2,True,Bot,Bot,True,True,Top,Top,True
75,set3,2,14,covered,73,14,13,False,10,4.500000,Top,Bot,False,Bot,Bot,True,14,4,True,Bot,Top,False,True,Bot,,False
76,set3,3,16,covered,74,16,18,False,14,2.357143,Top,Bot,False,Bot,Top,False,16,8,True,Bot,Bot,True,True,Bot,,False
77,set3,4,14,covered,75,14,15,False,13,3.384615,Top,Bot,False,Bot,Bot,True,14,8,True,Bot,Top,False,True,Top,,False
78,set3,5,10,covered,76,10,11,False,9,5.777778,Top,Top,True,Bot,Top,False,10,4,True,Bot,Bot,True,True,Top,Top,True
79,set3,6,32,covered,77,32,26,False,25,3.640000,Top,Top,True,Bot,Bot,True,32,13,True,Top,Bot,False,True,Bot,,False
80,set3,7,14,covered,78,14,19,False,13,5.000000,Bot,Bot,True,Top,Bot,False,14,7,True,Top,Bot,False,True,Top,,False
81,set3,8,13,covered,79,13,13,True,12,1.750000,Top,Bot,False,Top,Bot,False,13,3,True,Top,Top,True,True,Bot,,False
82,set3,9,20,covered,80,20,17,False,15,1.933333,Bot,Top,False,Top,Top,True,20,9,True,Bot,Top,False,True,Top,Top,True
83,set3,10,22,covered,82,22,26,False,21,2.285714,Top,Bot,False,Bot,Top,False,22,10,True,Bot,Bot,True,True,Top,,False
84,set3,11,14,covered,83,14,10,False,10,7.600000,Top,Top,True,Bot,Bot,True,14,4,True,Top,Top,True,True,Bot,Bot,True
85,set3,12,6,covered,84,6,8,False,6,2.000000,Bot,Bot,True,Top,Top,True,6,4,True,Top,Bot,False,True,Bot,,False
86,set3,13,5,covered,85,5,7,False,4,1.750000,Top,Bot,False,Top,Bot,False,5,2,True,Bot,Bot,True,True,Bot,,False
87,set3,14,14,covered,86,14,13,False,11,2.818182,Top,Bot,False,Bot,Bot,True,14,5,True,Bot,Bot,True,True,Bot,Top,False
88,set3,15,2,covered,87,2,3,False,2,2.000000,Top,Bot,False,Bot,Bot,True,2,0,True,Top,Top,True,True,Bot,Bot,True
89,set3,16,12,covered,88,12,11,False,11,2.090909,Bot,Top,False,Top,Top,True,12,7,True,Top,Top,True,True,Top,,False
90,set3,17,14,covered,89,14,12,False,10,2.500000,Bot,Bot,True,Top,Top,True,14,5,True,Top,Top,True,True,Top,Top,True
91,set3,18,2,covered,90,2,4,False,2,6.000000,Bot,,False,Top,,False,2,1,True,Bot,,False,True,Top,,False
92,set3,19,38,covered,91,38,33,False,32,2.843750,Top,Top,True,Bot,Top,False,38,19,True,Top,Top,True,True,Bot,Bot,True
93,set3,20,14,covered,92,14,13,False,12,3.250000,Bot,Top,False,Top,Top,True,14,5,True,Bot,Bot,True,True,Top,,False
94,set3,21,16,covered,93,16,68,False,15,3.466667,Bot,Top,False,Top,Bot,False,16,10,True,Top,Top,True,True,Bot,,False
95,set3,22,18,covered,94,18,19,False,18,3.388889,Bot,Top,False,Top,Top,True,18,8,True,Top,Top,True,True,Bot,Top,False
96,set3,23,20,covered,95,20,22,False,20,5.550000,Bot,Bot,True,Top,Top,True,20,8,True,Bot,Bot,True,True,Top,,False
97,set3,24,4,covered,96,4,6,False,4,4.250000,Top,Top,True,Bot,Bot,True,4,0,True,Bot,Bot,True,True,Bot,,False
98,set3,25,25,covered,97,25,25,True,23,2.608696,Bot,Bot,True,Bot,Bot,True,25,12,True,Top,Top,True,True,Bot,Top,False
99,set3,26,43,covered,98,43,38,False,37,3.486486,Top,Bot,False,Top,Top,True,43,19,True,Top,Top,True,True,Bot,Bot,True
100,set3,27,9,covered,99,9,9,True,7,3.428571,Top,Top,True,Top,Top,True,9,4,True,Bot,Bot,True,True,Bot,Top,False
101,set3,28,10,covered,100,10,6,False,6,5.166667,Top,Top,True,Bot,Bot,True,10,5,True,Bot,Bot,True,True,Top,,False
102,set3,29,9,covered,101,9,9,True,9,3.000000,Bot,Bot,True,Bot,Bot,True,9,2,True,Bot,Bot,True,True,Top,Top,True
103,set3,30,19,covered,102,19,17,False,17,6.235294,Bot,Bot,True,Bot,Bot,True,19,7,True,Bot,Bot,True,True,Top,,False
104,set3,31,39,covered,103,39,33,False,32,3.218750,Bot,Bot,True,Bot,Bot,True,39,15,True,Top,Top,True,True,Top,,False
105,set3,32,11,covered,104,11,17,False,11,5.272727,Top,Top,True,Top,Top,True,11,7,True,Bot,Bot,True,True,Bot,,False
106,set3,33,7,covered,105,7,9,False,6,3.666667,Bot,Bot,True,Bot,Bot,True,7,5,True,Top,Top,True,True,Bot,,False
107,set3,34,7,covered,106,7,6,False,5,6.400000,Top,Bot,False,Top,Top,True,7,2,True,Bot,Top,False,True,Bot,Top,False
108,set3,35,24,covered,108,24,24,True,21,4.142857,Top,Bot,False,Bot,Top,False,24,13,True,Top,Bot,False,True,Bot,,False
109,set3,36,2,covered,109,2,7,False,2,11.000000,Bot,Bot,True,Top,Bot,False,2,1,True,Top,Top,True,True,Top,,False
110,set3,37,6,covered,110,6,8,False,6,4.000000,Bot,Bot,True,Top,Top,True,6,4,True,Top,Top,True,True,Bot,Top,False
111,set3,38,17,covered,111,17,26,False,14,7.714286,Top,,False,Top,,False,17,10,True,Bot,,False,True,Bot,,False
112,set3,39,13,covered,112,13,11,False,8,4.000000,Bot,Top,False,Bot,Top,False,13,6,True,Top,,False,True,Bot,,False
