gt_index,set_id,rally,n_gt_strokes,classification,mapped_span,ball_round_gt,ball_round_pred,ball_round_correct,timing_matched_n,timing_mean_abs_err,player_gt,player_pred,player_correct,server_gt,server_pred,server_correct,hit_height_eligible_n,hit_height_correct_n,getpoint_eligible,getpoint_gt,getpoint_pred,getpoint_correct,landing_eligible,landing_gt,landing_pred,landing_correct
21,set1,22,24,covered,33,24,26,False,22,1.954545,Bot,,False,Top,,False,24,14,True,Bot,,False,True,Top,,False
22,set1,23,7,covered,34,7,7,True,6,1.833333,Bot,Top,False,Bot,Top,False,7,2,True,Top,Bot,False,True,Top,,False
23,set1,24,9,covered,35,9,17,False,8,3.750000,Top,Bot,False,Top,Bot,False,9,1,True,Bot,Bot,True,True,Bot,Top,False
24,set1,25,24,covered,36,24,23,False,21,1.476190,Top,Bot,False,Bot,Bot,True,24,11,True,Bot,,False,True,Top,,False
25,set1,26,1,missed,,1,,False,0,,Bot,,False,Bot,,False,1,0,False,,,,True,Top,,False
26,set1,27,18,covered,39,18,19,False,14,1.642857,Bot,Bot,True,Top,Bot,False,18,6,True,Top,Bot,False,True,Top,,False
27,set1,28,2,missed,,2,,False,0,,Bot,,False,Top,,False,2,0,True,Bot,,False,True,Top,,False
28,set1,29,21,covered,40,21,17,False,16,1.750000,Bot,Bot,True,Bot,Bot,True,21,5,True,Bot,Bot,True,True,Top,,False
29,set1,30,3,covered,42,3,3,True,3,2.000000,Bot,Bot,True,Bot,Bot,True,3,1,True,Bot,Top,False,True,Top,,False
30,set1,31,1,missed,,1,,False,0,,Bot,,False,Bot,,False,1,0,False,,,,True,Top,,False
31,set1,32,2,covered,45,2,2,True,1,2.000000,Bot,Top,False,Top,Bot,False,2,1,True,Bot,Top,False,True,Top,,False
32,set1,33,7,covered,47,7,6,False,3,1.666667,Bot,Bot,True,Bot,Top,False,7,0,True,Top,,False,True,Bot,,False
33,set1,34,2,covered,49,2,2,True,2,8.500000,Bot,,False,Top,,False,2,1,True,Bot,,False,True,Top,,False
34,set1,35,1,missed,,1,,False,0,,Bot,,False,Bot,,False,1,0,False,,,,True,Top,,False
35,set1,36,30,covered,52,30,29,False,25,2.600000,Bot,Bot,True,Top,Bot,False,30,12,True,Top,Bot,False,True,Bot,,False
36,set1,37,5,covered,53,5,7,False,4,8.750000,Top,Bot,False,Top,Bot,False,5,2,True,Top,Bot,False,True,Bot,Top,False
37,set1,38,14,covered,55,14,15,False,12,1.000000,Bot,Top,False,Top,Top,True,14,7,True,Top,Top,True,True,Bot,,False
38,set2,1,4,covered,57,4,8,False,4,2.000000,Top,Bot,False,Bot,Top,False,4,3,True,Top,,False,True,Bot,,False
39,set2,2,6,covered,58,6,6,True,5,3.000000,Bot,,False,Top,,False,6,2,True,Top,,False,True,Bot,,False
40,set2,3,1,missed,,1,,False,0,,Top,,False,Top,,False,1,0,False,,,,True,Bot,,False
41,set2,4,7,covered,60,7,9,False,7,3.142857,Top,Top,True,Top,Top,True,7,3,True,Top,Top,True,True,Bot,,False
42,set2,5,1,covered,61,1,15,False,1,4.000000,Top,Top,True,Top,Top,True,1,0,False,,,,False,,,
43,set2,6,4,split,,4,,False,0,,Top,,False,Bot,,False,4,0,True,Bot,,False,True,Bot,,False
44,set2,7,4,covered,63,4,6,False,4,2.000000,Top,Top,True,Bot,Bot,True,4,2,True,Top,Top,True,True,Bot,,False
45,set2,8,14,covered,64,14,10,False,10,2.100000,Bot,Bot,True,Top,Top,True,14,4,True,Bot,Top,False,True,Top,Top,True
46,set2,9,7,covered,66,7,6,False,5,3.400000,Bot,Bot,True,Bot,Top,False,7,3,True,Top,Bot,False,True,Top,Top,True
47,set2,10,1,missed,,1,,False,0,,Top,,False,Top,,False,1,0,False,,,,True,Top,,False
48,set2,11,28,covered,69,28,31,False,26,2.423077,Bot,Bot,True,Top,Bot,False,28,13,True,Top,Top,True,True,Bot,Top,False
49,set2,12,8,covered,70,8,6,False,5,1.000000,Bot,,False,Top,,False,8,2,True,Bot,,False,True,Top,,False
50,set2,13,4,covered,71,4,11,False,4,1.500000,Top,Bot,False,Bot,Bot,True,4,0,True,Bot,Top,False,True,Bot,Top,False
51,set2,14,17,covered,72,17,13,False,13,1.846154,Bot,Top,False,Bot,Top,False,17,7,True,Top,Bot,False,True,Top,Top,True
52,set2,15,13,covered,74,13,15,False,11,1.545455,Top,Bot,False,Top,Bot,False,13,4,True,Top,Bot,False,True,Bot,,False
53,set2,16,10,covered,76,10,9,False,9,1.444444,Bot,Top,False,Top,Top,True,10,5,True,Bot,Bot,True,True,Top,Top,True
54,set2,17,5,covered,78,5,3,False,2,1.500000,Bot,Bot,True,Bot,Bot,True,5,1,True,Top,Top,True,True,Top,Top,True
55,set2,18,7,covered,79,7,7,True,5,1.400000,Top,Top,True,Top,Top,True,7,3,True,Bot,Top,False,True,Top,,False
56,set2,19,2,covered,81,2,6,False,2,3.500000,Top,,False,Bot,,False,2,0,True,Bot,,False,True,Bot,,False
57,set2,20,23,covered,82,23,21,False,19,1.421053,Bot,Top,False,Bot,Top,False,23,10,True,Top,Top,True,True,Top,,False
58,set2,21,4,covered,83,4,5,False,4,1.250000,Bot,Top,False,Top,Top,True,4,1,True,Top,Bot,False,True,Top,,False
59,set2,22,14,covered,84,14,18,False,12,3.500000,Bot,Top,False,Top,Bot,False,14,4,True,Bot,Top,False,True,Top,Bot,False
60,set2,23,6,covered,85,6,7,False,5,3.200000,Top,Top,True,Bot,Top,False,6,2,True,Bot,Bot,True,True,Top,Top,True
61,set2,24,11,covered,86,11,13,False,11,3.000000,Bot,Bot,True,Bot,Bot,True,11,4,True,Top,Bot,False,True,Bot,,False
62,set2,25,5,covered,88,5,5,True,2,2.000000,Top,Top,True,Top,Top,True,5,1,True,Bot,Bot,True,True,Top,,False
63,set2,26,5,covered,89,5,6,False,5,5.200000,Bot,Top,False,Bot,Bot,True,5,1,True,Top,Bot,False,True,Bot,Top,False
64,set2,27,17,covered,91,17,13,False,11,2.181818,Top,Top,True,Top,Top,True,17,6,True,Top,Top,True,True,Bot,Top,False
65,set2,28,1,missed,,1,,False,0,,Top,,False,Top,,False,1,0,False,,,,True,Bot,,False
66,set2,29,8,covered,94,8,11,False,8,2.125000,Top,Bot,False,Bot,Bot,True,8,3,True,Bot,Bot,True,True,Top,,False
67,set2,30,4,split,,4,,False,0,,Top,,False,Bot,,False,4,0,True,Bot,,False,True,Bot,,False
68,set2,31,16,covered,96,16,15,False,14,2.000000,Top,Bot,False,Bot,Bot,True,16,7,True,Top,Top,True,True,Bot,Bot,True
69,set2,32,6,covered,98,6,13,False,5,1.400000,Bot,Top,False,Top,Top,True,6,2,True,Bot,Bot,True,True,Top,Top,True
70,set2,33,5,covered,99,5,6,False,5,1.800000,Bot,Top,False,Bot,Bot,True,5,1,True,Top,Top,True,True,Bot,,False
71,set2,34,7,covered,100,7,8,False,7,4.714286,Top,Bot,False,Top,Top,True,7,4,True,Top,Bot,False,True,Bot,,False
72,set2,35,8,covered,101,8,7,False,7,1.857143,Bot,Bot,True,Top,Bot,False,8,1,True,Top,Top,True,True,Top,Top,True
73,set2,36,17,covered,102,17,16,False,16,2.250000,Top,Bot,False,Top,Top,True,17,10,True,Top,Top,True,True,Bot,Bot,True
74,set3,1,18,covered,104,18,20,False,17,2.058824,Top,Bot,False,Bot,Top,False,18,10,True,Bot,Bot,True,True,Bot,,False
75,set3,2,4,covered,106,4,5,False,3,2.333333,Top,Top,True,Bot,Top,False,4,1,True,Top,Top,True,True,Bot,,False
76,set3,3,16,covered,108,16,16,True,13,1.769231,Bot,Bot,True,Top,Top,True,16,4,True,Bot,Bot,True,True,Top,Top,True
77,set3,4,1,missed,,1,,False,0,,Bot,,False,Bot,,False,1,0,False,,,,False,,,
78,set3,5,5,split,,5,,False,0,,Bot,,False,Bot,,False,5,0,True,Top,,False,True,Bot,,False
79,set3,6,10,covered,112,10,14,False,9,2.888889,Bot,Top,False,Top,Bot,False,10,6,True,Bot,Top,False,True,Top,,False
80,set3,7,3,covered,113,3,8,False,3,1.333333,Top,Bot,False,Top,Top,True,3,2,True,Bot,Bot,True,True,Bot,Top,False
81,set3,8,14,covered,114,14,13,False,12,2.916667,Top,Bot,False,Bot,Bot,True,14,5,True,Bot,Bot,True,True,Top,,False
82,set3,9,1,missed,,1,,False,0,,Bot,,False,Bot,,False,1,0,False,,,,True,Top,,False
83,set3,10,5,covered,116,5,11,False,5,3.600000,Bot,Top,False,Bot,Top,False,5,2,True,Top,Top,True,True,Bot,Bot,True
84,set3,11,3,covered,117,3,5,False,3,3.000000,Top,Top,True,Top,Top,True,3,1,True,Bot,Top,False,True,Bot,Top,False
85,set3,12,3,covered,118,3,5,False,2,6.000000,Bot,Top,False,Bot,Top,False,3,0,True,Top,Top,True,True,Bot,,False
86,set3,13,7,covered,119,7,8,False,7,4.857143,Top,Bot,False,Top,Top,True,7,2,True,Bot,Top,False,True,Top,Top,True
87,set3,14,1,covered,120,1,6,False,0,,Bot,Bot,True,Bot,Top,False,1,0,False,,,,True,Top,,False
88,set3,15,9,covered,121,9,10,False,7,5.285714,Bot,,False,Bot,,False,9,3,True,Bot,,False,True,Top,,False
89,set3,16,30,covered,123,30,30,True,25,1.440000,Bot,Bot,True,Top,Top,True,30,16,True,Bot,Top,False,True,Top,Top,True
90,set3,17,8,covered,124,8,5,False,5,3.000000,Top,Top,True,Bot,Top,False,8,3,True,Top,Bot,False,True,Bot,Bot,True
91,set3,18,1,missed,,1,,False,0,,Top,,False,Top,,False,1,0,False,,,,True,Bot,,False
92,set3,19,1,missed,,1,,False,0,,Top,,False,Top,,False,1,0,False,,,,False,,,
93,set3,20,1,missed,,1,,False,0,,Top,,False,Top,,False,1,0,False,,,,False,,,
94,set3,21,13,covered,129,13,23,False,12,2.750000,Bot,Top,False,Bot,Top,False,13,3,True,Top,Top,True,True,Top,Bot,False
95,set3,22,4,covered,130,4,5,False,4,0.500000,Bot,Top,False,Top,Top,True,4,2,True,Top,,False,True,Bot,,False
96,set3,23,1,missed,,1,,False,0,,Top,,False,Top,,False,1,0,False,,,,True,Bot,,False
97,set3,24,9,split,,9,,False,0,,Bot,,False,Bot,,False,9,0,True,Top,,False,True,Bot,,False
98,set3,25,4,covered,134,4,6,False,4,3.000000,Bot,Bot,True,Top,Top,True,4,0,True,Top,Top,True,True,Bot,,False
99,set3,26,1,covered,135,1,4,False,1,11.000000,Top,Bot,False,Top,Top,True,1,0,False,,Top,,True,Top,,False
100,set3,27,8,covered,136,8,8,True,7,2.142857,Top,Bot,False,Bot,Top,False,8,4,True,Top,Bot,False,True,Bot,Top,False
101,set3,28,6,covered,138,6,8,False,5,1.800000,Bot,Bot,True,Top,Top,True,6,2,True,Top,Bot,False,True,Top,Top,True
102,set3,29,1,missed,,1,,False,0,,Top,,False,Top,,False,1,0,False,,,,True,Top,,False
103,set3,30,6,covered,140,6,6,True,5,3.000000,Top,,False,Bot,,False,6,1,True,Top,,False,True,Bot,,False
