case_id,candidate_id,population,existing_ruling,marking,interval,status,legacy_interval_pass,legacy_pass_station_fraction,observed_pass_stations,stations_with_any_measured_offset,unknown_offset_tests,run_lower_stations,run_upper_stations,run_lower_fraction,run_upper_fraction,clipped_span_working_px,station_spacing_working_px,lower_path_endpoint_span_working_px
am2_window_01_frame_28019,184:4123,ORIGINAL automatic_all_camera,paint winner; rejected as an incoherent court near the net top,near_long_service,10,measured,True,0.75,18,24,0,16,16,0.6666666666666666,0.6666666666666666,127.03697319999881,5.523346660869514,82.8501999130427
am2_window_01_frame_28019,184:4123,ORIGINAL automatic_all_camera,paint winner; rejected as an incoherent court near the net top,near_baseline,11,measured,True,0.75,18,24,0,12,12,0.5,0.5,113.34407999715013,4.928003478136962,54.20803825950659
am2_window_00_frame_150,30:33,ORIGINAL automatic_all_camera,paint winner; visually approved and described as perfect,left_doubles,0,measured,True,0.5416666666666666,13,23,5,5,5,0.20833333333333334,0.20833333333333334,534.2614229368488,23.228757518993426,92.9150300759737
am2_window_00_frame_150,30:33,ORIGINAL automatic_all_camera,paint winner; visually approved and described as perfect,left_singles,1,measured,True,0.5416666666666666,13,23,5,7,8,0.2916666666666667,0.3333333333333333,548.92589991211,23.866343474439567,143.1980608466374
am2_window_00_frame_150,30:33,ORIGINAL automatic_all_camera,paint winner; visually approved and described as perfect,centre,2,measured,True,0.5833333333333334,14,24,0,10,10,0.4166666666666667,0.4166666666666667,56.628292141500204,2.4620996583260957,22.15889692493486
am2_window_00_frame_150,30:33,ORIGINAL automatic_all_camera,paint winner; visually approved and described as perfect,centre,3,measured,True,0.7916666666666666,19,24,0,11,11,0.4583333333333333,0.4583333333333333,345.3480210818869,15.015131351386387,150.15131351386387
am2_window_00_frame_150,30:33,ORIGINAL automatic_all_camera,paint winner; visually approved and described as perfect,right_singles,4,measured,True,1.0,24,24,0,24,24,1.0,1.0,314.9912171509362,13.69527031091027,314.9912171509362
am2_window_00_frame_150,30:33,ORIGINAL automatic_all_camera,paint winner; visually approved and described as perfect,right_doubles,5,measured,True,0.9583333333333334,23,24,0,23,23,0.9583333333333334,0.9583333333333334,278.84730280907553,12.123795774307633,266.7235070347679
am2_window_00_frame_150,30:33,ORIGINAL automatic_all_camera,paint winner; visually approved and described as perfect,far_baseline,6,measured,True,0.5416666666666666,13,24,0,4,4,0.16666666666666666,0.16666666666666666,215.55116850026567,9.37178993479416,28.11536980438248
am2_window_00_frame_150,30:33,ORIGINAL automatic_all_camera,paint winner; visually approved and described as perfect,far_long_service,7,measured,True,0.4166666666666667,10,24,0,3,3,0.125,0.125,224.21479311239958,9.748469265756503,19.496938531513006
am2_window_00_frame_150,30:33,ORIGINAL automatic_all_camera,paint winner; visually approved and described as perfect,far_short_service,8,measured,True,0.4583333333333333,11,24,0,3,3,0.125,0.125,283.4624088562564,12.32445255896767,24.64890511793534
am2_window_00_frame_150,30:33,ORIGINAL automatic_all_camera,paint winner; visually approved and described as perfect,near_short_service,9,measured,True,0.625,15,24,0,7,7,0.2916666666666667,0.2916666666666667,384.28494028163266,16.708040881810117,100.24824529086068
am2_window_00_frame_150,30:33,ORIGINAL automatic_all_camera,paint winner; visually approved and described as perfect,near_long_service,10,measured,True,0.9166666666666666,22,24,0,20,20,0.8333333333333334,0.8333333333333334,586.6819888554367,25.507912558932027,484.6503386197085
am2_window_00_frame_150,30:33,ORIGINAL automatic_all_camera,paint winner; visually approved and described as perfect,near_baseline,11,measured,True,0.9166666666666666,22,23,5,22,23,0.9166666666666666,0.9583333333333334,596.987096116489,25.955960700716915,545.0751747150553
shuttleset_03_scene_0019,165:6702,ORIGINAL automatic_all_camera,"paint winner; rejected as an unrelated, hallucinated court",left_doubles,0,measured,True,0.5416666666666666,13,23,5,4,4,0.16666666666666666,0.16666666666666666,959.0326291833278,41.69707083405773,125.09121250217318
shuttleset_03_scene_0019,165:6702,ORIGINAL automatic_all_camera,"paint winner; rejected as an unrelated, hallucinated court",left_singles,1,measured,True,0.625,15,23,5,9,9,0.375,0.375,959.0326291833278,41.69707083405773,333.57656667246187
shuttleset_03_scene_0019,165:6702,ORIGINAL automatic_all_camera,"paint winner; rejected as an unrelated, hallucinated court",centre,2,geometrically_unavailable,,,,,,,,,,,,
shuttleset_03_scene_0019,165:6702,ORIGINAL automatic_all_camera,"paint winner; rejected as an unrelated, hallucinated court",centre,3,geometrically_unavailable,,,,,,,,,,,,
shuttleset_03_scene_0019,165:6702,ORIGINAL automatic_all_camera,"paint winner; rejected as an unrelated, hallucinated court",right_singles,4,measured,True,0.5416666666666666,13,23,5,5,5,0.20833333333333334,0.20833333333333334,959.0326291833278,41.69707083405773,166.78828333623093
shuttleset_03_scene_0019,165:6702,ORIGINAL automatic_all_camera,"paint winner; rejected as an unrelated, hallucinated court",right_doubles,5,measured,True,0.5416666666666666,13,23,5,5,5,0.20833333333333334,0.20833333333333334,959.0326291833278,41.69707083405773,166.78828333623093
shuttleset_03_scene_0019,165:6702,ORIGINAL automatic_all_camera,"paint winner; rejected as an unrelated, hallucinated court",far_baseline,6,geometrically_unavailable,,,,,,,,,,,,
shuttleset_03_scene_0019,165:6702,ORIGINAL automatic_all_camera,"paint winner; rejected as an unrelated, hallucinated court",far_long_service,7,geometrically_unavailable,,,,,,,,,,,,
shuttleset_03_scene_0019,165:6702,ORIGINAL automatic_all_camera,"paint winner; rejected as an unrelated, hallucinated court",far_short_service,8,measured,True,0.5,12,24,2,5,5,0.20833333333333334,0.20833333333333334,101.32041857897173,4.405235590390075,17.6209423615603
shuttleset_03_scene_0019,165:6702,ORIGINAL automatic_all_camera,"paint winner; rejected as an unrelated, hallucinated court",near_short_service,9,geometrically_unavailable,,,,,,,,,,,,
shuttleset_03_scene_0019,165:6702,ORIGINAL automatic_all_camera,"paint winner; rejected as an unrelated, hallucinated court",near_long_service,10,geometrically_unavailable,,,,,,,,,,,,
shuttleset_03_scene_0019,165:6702,ORIGINAL automatic_all_camera,"paint winner; rejected as an unrelated, hallucinated court",near_baseline,11,geometrically_unavailable,,,,,,,,,,,,
shuttleset_03_scene_0019,1:60,ORIGINAL automatic_all_camera,line winner; visually judged usable,left_doubles,0,measured,True,1.0,24,24,0,24,24,1.0,1.0,298.49876363571013,12.978207114596092,298.49876363571013
shuttleset_03_scene_0019,1:60,ORIGINAL automatic_all_camera,line winner; visually judged usable,left_singles,1,measured,True,1.0,24,24,0,24,24,1.0,1.0,292.437990262662,12.714695228811392,292.437990262662
shuttleset_03_scene_0019,1:60,ORIGINAL automatic_all_camera,line winner; visually judged usable,centre,2,measured,True,0.9166666666666666,22,24,0,21,21,0.875,0.875,67.08838303412335,2.9168862188749283,58.33772437749857
shuttleset_03_scene_0019,1:60,ORIGINAL automatic_all_camera,line winner; visually judged usable,centre,3,measured,True,0.9583333333333334,23,24,0,23,23,0.9583333333333334,0.9583333333333334,131.7619984145107,5.728782539761335,126.03321587474939
shuttleset_03_scene_0019,1:60,ORIGINAL automatic_all_camera,line winner; visually judged usable,right_singles,4,measured,True,1.0,24,24,0,24,24,1.0,1.0,289.5376897591435,12.588595206919283,289.5376897591435
shuttleset_03_scene_0019,1:60,ORIGINAL automatic_all_camera,line winner; visually judged usable,right_doubles,5,measured,True,1.0,24,24,0,24,24,1.0,1.0,295.1505133151435,12.83263101370189,295.1505133151435
shuttleset_03_scene_0019,1:60,ORIGINAL automatic_all_camera,line winner; visually judged usable,far_baseline,6,measured,True,0.9583333333333334,23,24,0,12,12,0.5,0.5,322.5371075804896,14.023352503499547,154.25687753849502
shuttleset_03_scene_0019,1:60,ORIGINAL automatic_all_camera,line winner; visually judged usable,far_long_service,7,measured,False,0.16666666666666666,4,24,0,1,1,0.041666666666666664,0.041666666666666664,330.1683921355528,14.355147484154468,0.0
shuttleset_03_scene_0019,1:60,ORIGINAL automatic_all_camera,line winner; visually judged usable,far_short_service,8,measured,True,0.9166666666666666,22,24,0,14,14,0.5833333333333334,0.5833333333333334,376.59586991207675,16.37373347443812,212.85853516769555
shuttleset_03_scene_0019,1:60,ORIGINAL automatic_all_camera,line winner; visually judged usable,near_short_service,9,measured,True,1.0,24,24,0,23,23,0.9583333333333334,0.9583333333333334,438.2168740430558,19.05290756708938,419.1639664759664
shuttleset_03_scene_0019,1:60,ORIGINAL automatic_all_camera,line winner; visually judged usable,near_long_service,10,measured,True,1.0,24,24,0,23,23,0.9583333333333334,0.9583333333333334,523.9486668037588,22.78037681755473,501.16828998620406
shuttleset_03_scene_0019,1:60,ORIGINAL automatic_all_camera,line winner; visually judged usable,near_baseline,11,measured,True,0.9583333333333334,23,24,0,23,23,0.9583333333333334,0.9583333333333334,544.3886169661496,23.66907030287607,520.7195466632736
