video,frame,corner_idx,x_px,y_px,x_norm,y_norm,orientation,corner_label,visible,source,fit_rms_px
C6NrJyBwn6c.mkv,17174,3,524.7132876789832,1148.6020963251249,0.2732881706661371,1.0635204595603007,landscape,bl,0,extrapolated,3.066
C1jR4vZmrkI.mkv,0,0,366.5,666.0,0.19088541666666667,0.6166666666666667,landscape,tl,1,click,
C1jR4vZmrkI.mkv,0,1,992.0,678.0,0.5166666666666667,0.6277777777777778,landscape,tr,1,click,
C1jR4vZmrkI.mkv,0,2,1986.4162937436006,1068.6391323527555,1.0345918196581254,0.9894806781044032,landscape,br,0,extrapolated,2.574
C1jR4vZmrkI.mkv,0,3,-31.480258939122326,1140.4057237150412,-0.016395968197459546,1.0559312256620752,landscape,bl,0,extrapolated,2.574
C1jR4vZmrkI.mkv,13782,0,435.0,675.5,0.2265625,0.625462962962963,landscape,tl,1,click,
C1jR4vZmrkI.mkv,13782,1,1052.5,689.0,0.5481770833333334,0.637962962962963,landscape,tr,1,click,
C1jR4vZmrkI.mkv,13782,2,2081.983790674386,1092.4075608416497,1.0843665576429093,1.0114884822607868,landscape,br,0,extrapolated,2.763
C1jR4vZmrkI.mkv,13782,3,39.993891230386545,1140.9184055035648,0.02083015168249299,1.0564059310218192,landscape,bl,0,extrapolated,2.763
C1jR4vZmrkI.mkv,319,0,328.0,671.0,0.17083333333333334,0.6212962962962963,landscape,tl,1,click,
C1jR4vZmrkI.mkv,319,1,960.5,682.5,0.5002604166666667,0.6319444444444444,landscape,tr,1,click,
C1jR4vZmrkI.mkv,319,2,1926.677850709461,1062.324799586553,1.0034780472445108,0.9836340736912527,landscape,br,0,extrapolated,2.132
C1jR4vZmrkI.mkv,319,3,-79.49024058938733,1153.2606770376892,-0.041401166973639235,1.0678339602200826,landscape,bl,0,extrapolated,2.132
zYqgJo1L5uM.mkv,54,0,657.0,554.0,0.3421875,0.512962962962963,landscape,tl,1,click,
zYqgJo1L5uM.mkv,54,1,1194.5,554.5,0.6221354166666667,0.513425925925926,landscape,tr,1,click,
zYqgJo1L5uM.mkv,54,2,2845.9845846048106,1212.3268287089645,1.4822836378150055,1.1225248413971893,landscape,br,0,extrapolated,3.106
zYqgJo1L5uM.mkv,54,3,-428.9523613220512,1311.3769555282588,-0.22341268818856835,1.214237921785425,landscape,bl,0,extrapolated,3.106
zYqgJo1L5uM.mkv,5352,0,661.0,553.0,0.34427083333333336,0.5120370370370371,landscape,tl,1,click,
zYqgJo1L5uM.mkv,5352,1,1197.0,553.0,0.6234375,0.5120370370370371,landscape,tr,1,click,
zYqgJo1L5uM.mkv,5352,2,2845.891206569082,1210.0317803667492,1.482235003421397,1.120399796635879,landscape,br,0,extrapolated,2.980
zYqgJo1L5uM.mkv,5352,3,-409.68074924729626,1307.555806403311,-0.2133753902329668,1.2106998207438064,landscape,bl,0,extrapolated,2.980
BkjErIAsZu4.mkv,150,0,1047.8158029590911,422.5816366627653,0.5457373973745266,0.39127929320626414,landscape,tl,0,extrapolated,2.493
BkjErIAsZu4.mkv,150,1,1486.8710567259102,444.2101903423827,0.7744120087114116,0.4113057317985025,landscape,tr,0,extrapolated,2.493
BkjErIAsZu4.mkv,150,2,1159.5,895.0,0.60390625,0.8287037037037037,landscape,br,1,click,
BkjErIAsZu4.mkv,150,3,-82.1618184025611,577.7633792671987,-0.042792613751333905,0.5349660919140728,landscape,bl,0,extrapolated,2.493
BkjErIAsZu4.mkv,28019,0,1045.9110859476364,421.9562908197444,0.544745357264394,0.39070026927754115,landscape,tl,0,extrapolated,2.241
BkjErIAsZu4.mkv,28019,1,1487.208623293088,443.3557867485578,0.7745878246318167,0.41051461735977574,landscape,tr,0,extrapolated,2.241
BkjErIAsZu4.mkv,28019,2,1160.0,895.0,0.6041666666666666,0.8287037037037037,landscape,br,1,click,
BkjErIAsZu4.mkv,28019,3,-84.16825942490202,577.3243499309019,-0.04383763511713647,0.5345595832693536,landscape,bl,0,extrapolated,2.241
